Part 10 of 10 — Consolidated RACI · Magnus Workspace Platform · 8 September 2026
"R does the work · A is accountable (and, where a gate exists, is that gate's primary approver) · C is consulted before · I is informed after · blank means not involved · 'R today' means the live build lets anyone signed in do it"

Part,Step,Chief Executive Officer,Chief Operating Officer,Director,Vice President for Sales,Sales,Project Manager,Person In Charge,Design Manager,Design Engineer,Permit Liaison,Document Controller,Procurement Head,Procurement Officer,Warehouse Custodian,Safety Officer,Service Technician,Operations and Maintenance Lead,Human Resource Head,Line Manager,Payroll Officer,Head of Finance,Finance Officer,Console Holder,Employee,Anyone signed in (live build),Client,Candidate,Supplier,Authority,Department of Labor and Employment
4,4.21 Submit counted quantities,,,,,,,C,,,,,,,R,,,,,,,,,,,,,,,,
4,4.22 Close the count,,,,,,I,,,,,,,,R / A,,,,,,,,,,,,,,,,
4,4.23 Issue material to site,,,,,,A,C,,,,,,,R,,,,,,,,,,,,,,,,
5,5.1 Raise resource request,,,,,,R,C,,,,,,,,,,,A,,,,,,,,,,,,
5,5.2 Create deployment,,,,,,C,I,,,,,,,,,,,R / A,,,,,,,,,,,,
5,"5.3 Mobilise (HB1, HB4)",,,I,,,A,I,,,,,,,,C,,,R,,,,,,,,,,,,
5,5.4 Assign equipment,,,,,,A,R,,,,,,,C,,,,,,,,,,,,,,,,
5,5.5 Stage becomes construction,,,I,,,A,I,,,,,,,,I,,,I,,,,,,,,,,,,
5,5.6 Open the site report,,,,,,I,R / A,,,,,,,,,,,,,,,,,,,,,,,
5,5.7 Toolbox meeting,,,,,,I,R / A,,,,,,,,C,,,I,,,,,,,,,,,,
5,5.8 Day's activities,,,,,,C,R / A,,,,,,,,,,,,,,,,,,,,,,,
5,5.9 Submit the report,,,,,,I,R / A,,,,,,,,I,,,,,,,,,,,,,,,
5,5.10 Approve the report,,,,,,R / A,I,,,,,,,,,,,,,,,,,,,,,,,
5,5.11 Block completion,,,I,,,I,I,,,,,,,,I,,,,,,,,,,,,,,,
5,5.12 Days worked,,,,,,C,I,,,,,,,,,,,I,,,,,,,,,,,,
5,5.13 Safety and Health Program (HB2),,,C,,,A,I,,,,,,,,R,,,I,,,,,,,,,,,,R
5,5.14 Create permit to work,,,,,,I,C,,,,,,,,R / A,,,,,,,,,,,,,,,
5,5.15 Issue the permit (G28),,,,,,I,I,,,,,,,,A,,,,,,,,,,,,,,,
5,5.16 Raise a safety stop,,,,,,I,R,,,,,,,,I,,,,,,,,,,,,,,,
5,5.17 Lift the safety stop (G29),,,I,,,I,I,,,,,,,,A,,,,,,,,,,,,,,,
5,5.18 Record an incident,,,I,,,I,C,,,,,,,,R / A,,,I,,,,,,,,,,,,I
5,5.19 Report a near miss,,,,,,I,R,,,,,,,,A,,,,,,,,,,,,,,,
5,5.20 Safety inspection,,,,,,I,C,,,,,,,,R / A,,,,,,,,,,,,,,,
5,5.21 Corrective action,,,,,,C,R,,,,,,,,A,,,,,,,,,,,,,,,
5,5.22 Raise non-conformance,,,,,,A,R,,,,,,,,C,,,,,,,,,,,,,,,
5,5.23 Review the report,,,I,,,R / A,I,,,,,,,,C,,,,,,,,,,,,,,,
5,5.24 Close the report (G19),,,C,,,A,I,,,,,,,,C,,,,,,,,,,,,,,,
5,5.25 No commissioning with an open report,,,I,,,A,I,,,,,,,,I,,,,,,,,,,,,,,,
6,6.1 Billing milestone,,,I,,,C,,,,,,,,,,,,,,,A,R,,,,I,,,,
6,6.2 Raise progress claim,,,I,,,C,,,,,,,,,,,,,,,A,R,,,,,,,,
6,6.3 Submit the claim (G11),,,C,,,I,,,,,,,,,,,,,,,A,R,,,,I,,,,
6,6.4 Client certifies,,,I,,,I,,,,,,,,,,,,,,,I,I,,,,R / A,,,,
6,6.5 Record certification (G11),,,C,,,I,,,,,,,,,,,,,,,A,R,,,,I,,,,
6,6.6 Mark paid,,,I,,,I,,,,,,,,,,,,,,,A,R,,,,I,,,,
6,6.7 Retention invoice (G12),,I,C,,,I,,,,,,,,,,,,,,,A,R,,,,I,,,,
6,6.8 Raise fund request,,,I,,,R,,,,,,,,,,,,,,,R / A,C,,,,,,,,
6,6.9 Approve the request (G23),,I,C,,,I,,,,,,,,,,,,,,,A,I,,,,,,,,
6,6.10 Release the funds,,,I,,,I,,,,,,,,,,,,,,,A,R,,,,,,,,
6,6.11 Liquidate the advance,,,I,,,C,,,,,,,,,,,,,,,A,R,,,,,,,,
6,6.12 Raise a write-off,,,I,,,C,,,,,,,,,,,,,,,A,R,,,,,,,,
6,"6.13 Approve — G1 ≤ ₱50,000",,,C,,,I,,,,,,,,,,,,,,,A,I,,,,,,,,
6,"6.13 Approve — G2 ₱50,000–₱100,000",,C,A,,,I,,,,,,,,,,,,,,,C,I,,,,,,,,
6,"6.13 Approve — G3 > ₱100,000",,A,C,,,I,,,,,,,,,,,,,,,C,I,,,,,,,,
6,6.14 Raise a variation order,,,I,,,R / A,,,,,,,,,,,,,,,C,C,,,,I,,,,
6,6.15 Approve the variation order (G8),,C,A,,,R,,,,,,,,,,,,,,,C,I,,,,I,,,,
6,6.16 Cash forecast,,I,I,,,C,,,,,,,,,,,,,,,A,R,,,,,,,,
6,6.17 Three-month gap,,I,I,,,I,,,,,,,,,,,,,,,I,I,,,,,,,,
6,6.18 Pay a supplier,,,I,,,I,,,,,,,,,,,,,,,A,R,,,,,,,,
7,7.1 Requisition,,I,,,,,,,,,,,,,,,,R / A,C,,I,,,,,,,,,
7,7.2 Add candidates,,,,,,,,,,,,,,,,,,R / A,C,,,,,,,,I,,,
7,7.3 Interviews,,,,,,,,,,,,,,,,,,A,R,,,,,,,,C,,,
7,7.4 Create the offer,,I,,,,,,,,,,,,,,,,R / A,C,,C,,,,,,I,,,
7,7.5 Issue the offer (G24),,C,,,,,,,,,,,,,,,,A,I,,C,,,,,,I,,,
7,7.6 Candidate responds,,,,,,,,,,,,,,,,,,I,I,,,,,,,,R / A,,,
7,7.7 Employee record,,,,,,,,,,,,,,,,,,R / A,I,I,,,,I,,,,,,
7,7.8 Regularisation diarised,,I,,,,,,,,,,,,,,,,A,R,,,,,I,,,,,,
7,7.9 Request leave,,,,,,,,,,,,,,,,,,I,A,,,,,R,,,,,,
7,7.10 Review the leave,,,,,,,,,,,,,,,,,,C,R / A,,,,,I,,,,,,
7,7.11 Write objectives,,,,,,,,,,,,,,,,,,I,A,,,,,R,,,,,,
7,7.12 Acknowledge objectives,,,,,,,,,,,,,,,,,,I,R / A,,,,,I,,,,,,
7,7.13 Quarterly review,,I,,,,,,,,,,,,,,,,A,R,,,,,R,,,,,,
7,7.14 Engagement response,,I,,,,,,,,,,,,,,,,I,,,,,,R / A,,,,,,
7,7.15 Enter the rate tables,,,,,,,,,,,,,,,,,,R / A,,C,C,,,,,,,,,
7,7.16 Approve the tables,,I,,,,,,,,,,,,,,,,C,,R,A,,,,,,,,,
7,7.17 Open the period,,,,,,,,,,,,,,,,,,I,C,R / A,C,,,I,,,,,,
7,7.18 Add workers,,,,,,,,,,,,,,,,,,C,C,R / A,,,,I,,,,,,
7,7.19 Run payroll ×3,,,,,,,,,,,,,,,,,,I,I,R / A,I,,,,,,,,,
7,7.20 Approve the period (G30),,A,,,,,,,,,,,,,,,,C,I,I,C,,,I,,,,,,
7,7.21 Acknowledge the payslip,,,,,,,,,,,,,,,,,,I,C,I,,,,R / A,,,,,,
7,7.22 Disburse (G31),,C,,,,,,,,,,,,,,,,I,,R,A,,,I,,,,,,
7,7.23 Protocol status change,,I,,,,,,,,,,,,,,,,I,,A,I,,,,,,,,,
8,8.1 Commissioning complete,,I,I,,,R / A,,,,,,,,,,I,I,,,,,I,,,,I,,,,
8,8.2 Client accepts,,C,A,,,R,,,,,,,,,,I,I,,,,,I,,,,R,,,,
8,8.3 Turnover date (G21),,C,A,,,R,,,,,,,,,,I,I,,,,,I,,,,I,,,,
8,8.4 Dates derived,,I,I,,,I,,,,,,,,,,I,I,,,,,I,,,,I,,,,
8,8.5 Retention invoice (G12),,I,C,,,C,,,,,,,,,,,I,,,,,R / A,,,,I,,,,
8,8.6 Maintenance schedule,,,I,,,I,,,,,,,,,,C,R / A,,,,,,,,,I,,,,
8,8.7 Create a visit,,,,,,I,,,,,,,,,,R,A,,,,,,,,,I,,,,
8,8.8 Work the visit,,,,,,I,,,,,,,,,,R,A,,,,,,,,,C,,,,
8,8.9 Record readings,,,,,,I,,,,,,,,,,R,A,,,,,,,,,I,,,,
8,8.10 Raise a defect,,I,I,,,C,,,,,,,,,,R,A,,,,,,,,,I,,,,
8,8.11 Submit for sign-off,,,,,,I,,,,,,,,,,R,I,,,,,,,,,,,,,
8,8.12 Approve the sign-off (G34),,,I,,,I,,,,,,,,,,I,A,,,,,,,,,I,,,,
8,8.13 Next visit date,,,,,,,,,,,,,,,,I,I,,,,,,,,,,,,,
8,8.14 Warranty claim (G34),,C,A,,,C,,,,,,,,,,C,R,,,,,I,,,,I,,,,
8,8.15 The gate engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.1 First console holder,I,I,,,,,,,,,,,,,,,,,,,,,R / A,,,,,,,
9,9.2 Second console holder,C,C,I,,,,,,,,,,,,,,,,,,,,A,,R today,,,,,
9,9.3 Gate rows seeded,I,I,,,,,,,,,,,,,,,,,,,,,I,,,,,,,
9,9.4 Configure a gate (G31),C,R / A,I,,,,,,,,I,,,,,,,,,,,,C,,R today,,,,,
9,9.5 Gates unconfigured,I,I,I,,,,,,,,I,,,,,,,,,,,,I,,,,,,,
9,9.6 Change a constant (G22),I,R / A,C,,,,,,,,,,,,,,,,,,,,I,,R today,,,,,
9,9.7 Constant by tool call,I,I,,,,,,,,,,,,,,,,,,,,,I,,R,,,,,
9,9.8 The timeline,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.9 Assign a role (G24),I,A,R,,,,,,,,,,,,,,,,,,,,C,,R today,,,,,
9,9.10 Screen path refuses,I,I,I,,,,,,,,,,,,,,,,,,,,I,,,,,,,
9,9.11 Role by tool call,I,I,I,,,,,,,,,,,,,,,,,,,,I,,R,,,,,
9,9.12 Direct assignment,I,I,I,,,,,,,,,,,,,,,,,,,,R / A,,,,,,,
9,9.13 Change permissions (G32),R / A,C,I,,,,,,,,,,,,,,,,,,,,C,,R today,,,,,
9,9.14 Sidebar painted,,I,,,,,,,,,,,,,,,,,,,,,,,I,,,,,
9,9.15 Classify a document (G33),,I,C,,,,,,,,R / A,,,,,,,,,,,,,,R today,,,,,
9,9.16 Publish a revision,,I,C,,,,,,,,A,,,,,,,,,,,,,,R today,,,,,
9,9.17 Revision by tool call,,I,,,,,,,,,I,,,,,,,,,,,,,,R,,,,,
9,9.18 Legal hold,C,C,I,,,,,,,,A,,,,,,,,,,,,,,R today,,,,,
9,9.19 Audit chain,I,I,I,,,,,,,,I,,,,,,,,,,,,I,,,,,,,
9,9.20 Cryptographic erasure,A,C,I,,,,,,,,,,,,,,,,,,,,C,,R today,,,,,
9,9.21 Export and attest,A,C,I,,,,,,,,I,,,,,,,,,,,,R,,R today,,,,,
