Part 10 of 10 — Hand-offs between lanes · Magnus Workspace Platform · 8 September 2026

SECTION 3 — HAND-OFFS BETWEEN LANES
Part,Process,From → To,At step,What crosses,What stalls it
8,Operate and Maintain,Operations → Executive,8.11 → 8.12,A visit awaiting sign-off,Nobody is told (RC-H)
8,Operate and Maintain,Operations → Client,8.12 → —,The signed-off service report,There is no document to send
8,Operate and Maintain,Operations → Procurement,8.10 → Part 4,A defect needing parts,No link at all — a defect cannot become a purchase order or a stock issue
9,Govern,Console → Executive,9.2 → 9.4,The right to configure,Nothing checks it
9,Govern,Executive → every other part,9.4 → all,Who approves what,"Nothing. One call, no signature"
9,Govern,Executive → Finance and Sales,"9.6 → Parts 2, 4, 6","Markups, yields, rates",Already inconsistent — see section 5
9,Govern,Department Head → the gate engine,9.9 → all,A person's authority,The grant is live before the answer
9,Govern,Executive → the sidebar,9.13 → 9.14,What a role may see,Nothing else consumes it
9,Govern,Document Control → Site,9.16 → Part 5,A revision in force,"Correct, and ungated"
9,Govern,Platform → the auditor,9.19 → 9.21,The proof,"Erasure can quietly remove part of it, and the export omits 21 tables"
