Part 10 of 10 — Process steps and hand-offs · Magnus Workspace Platform · 8 September 2026
"The per-step note on what the live build does today is in the companion sheet, Part 10 — Deviations register, and in the Part 2 to 9 documents."

SECTION 1 — PROCESS STEPS
Part,Process,Step,Lane,Action,Record → state,Gate or block
4,Buy and Store,4.21,Warehouse,Submit the counted quantities,"→ submitted, variance computed per line",—
4,Buy and Store,4.22,Warehouse,Close the count,→ closed,—
4,Buy and Store,4.23,Projects and Site,Issue material to site,stock_transfers warehouse_to_site,—
5,Build Safely,5.1,Manpower,Raise a resource request,resource_requests → open,—
5,Build Safely,5.2,Manpower,Create the deployment,deployments → planned,—
5,Build Safely,5.3,Manpower,Mobilise the deployment,→ mobilised,HB1 · HB4
5,Build Safely,5.4,Site,Assign equipment to the project,equipment_deployments,—
5,Build Safely,5.5,Platform,Automatic: the project stage should become construction,projects,—
5,Build Safely,5.6,Site,Open the site report for the day,site_reports → draft,—
5,Build Safely,5.7,Site,Record the toolbox meeting and who attended,toolbox_meetings,—
5,Build Safely,5.8,Site,Add the day's activities against blocks,site_report_activities,—
5,Build Safely,5.9,Site,Submit the report,→ submitted,—
5,Build Safely,5.10,Projects,Approve the report,→ approved,—
5,Build Safely,5.11,Platform,Automatic: block completion computed on read,project_blocks,—
5,Build Safely,5.12,Platform,Automatic: days worked derived from toolbox attendance,payroll,—
5,Build Safely,5.13,External,The Department of Labor and Employment approves the Construction Safety and Health Program,—,HB2
5,Build Safely,5.14,Safety,Create a permit to work — six types,permits_to_work → draft,—
5,Build Safely,5.15,Safety,Issue the permit,→ issued,G28 · Safety Officer · no alternate
5,Build Safely,5.16,Site,Any person raises a safety stop,safety_stops → active,—
5,Build Safely,5.17,Safety,Lift the safety stop,→ cleared,G29 · Safety Officer · no alternate
5,Build Safely,5.18,Safety,Record an incident — eighteen fields,incidents → open,—
5,Build Safely,5.19,Safety,Report a near miss,near_misses → open,—
5,Build Safely,5.20,Safety,"Safety inspection — pre-work, weekly, incident-triggered",safety_inspections → open,—
5,Build Safely,5.21,Safety,Corrective action — hierarchy of controls,corrective_actions → open,—
5,Build Safely,5.22,Site,Raise a non-conformance report,non_conformance_reports → open,—
5,Build Safely,5.23,Projects,Review the report,→ pending_closure_approval,—
5,Build Safely,5.24,Executive,Close the report,→ closed,G19 · Project Manager · Director · 3 days
5,Build Safely,5.25,Platform,Automatic: no project reaches commissioning with an open report,—,HB3
6,Get Paid,6.1,Billing,Create a billing milestone on the contract,billing_milestones → pending,—
6,Get Paid,6.2,Billing,Raise a progress claim,progress_claims → draft,—
6,Get Paid,6.3,Billing,Submit the claim to the client,→ submitted,G11 · Head of Finance · Director
6,Get Paid,6.4,External,The client reviews and certifies,→ certified · disputed,—
6,Get Paid,6.5,Billing,Record the certification,→ certified,G11 · Head of Finance · Director
6,Get Paid,6.6,Billing,Mark the milestone paid,billing_milestones → paid,—
6,Get Paid,6.7,Billing,Raise the retention invoice at the release date,—,G12 · Retention Invoice
6,Get Paid,6.8,Treasury,Raise a fund request,fund_requests → pending,HB6
6,Get Paid,6.9,Executive,Approve the request,→ approved,G23 · Head of Finance · Director
6,Get Paid,6.10,Treasury,Release the funds,→ released,—
6,Get Paid,6.11,Treasury,Liquidate the advance,→ liquidated,—
6,Get Paid,6.12,Treasury,Raise a write-off — seven categories,write_offs → pending_approval,—
6,Get Paid,6.13,Executive,Approve the write-off,→ approved,"G1 ≤ ₱50,000 · G2 ₱50,000–₱100,000 · G3 > ₱100,000"
6,Get Paid,6.14,Projects,Raise a variation order,variation_orders → draft,—
6,Get Paid,6.15,Executive,Approve the variation order,—,G8 · Director · Chief Operating Officer
6,Get Paid,6.16,Treasury,"Cash forecast — secured, gated, projected",cash_forecast_lines,—
6,Get Paid,6.17,Platform,Automatic: three-month gap detected on read,—,—
6,Get Paid,6.18,Platform,Automatic: pay a supplier,—,—
7,People and Pay,7.1,Human Resource,Raise a headcount requisition,hr_requisitions → open,—
7,People and Pay,7.2,Human Resource,Add candidates,candidates → applied,—
7,People and Pay,7.3,Human Resource,Schedule and record interviews,interview_records,—
7,People and Pay,7.4,Human Resource,Create the offer,hr_offers → draft,—
7,People and Pay,7.5,Executive,Record the approval and issue the offer,→ issued,G24 · Human Resource Head · Director
7,People and Pay,7.6,External,The candidate responds,→ accepted · declined,—
7,People and Pay,7.7,Human Resource,Create the employee record,employees,—
7,People and Pay,7.8,Platform,Automatic: regularisation diarised at six months,regularization_records,—
7,People and Pay,7.9,Staff,An employee requests leave — seven types,leave_requests → pending,
7,People and Pay,7.10,Managers,The manager reviews it,→ approved · declined,
7,People and Pay,7.11,Staff,The employee writes their own objectives,performance_objectives,
7,People and Pay,7.12,Managers,The manager acknowledges them,→ acknowledged,
7,People and Pay,7.13,Human Resource,"Quarterly review — self assessment, manager review, acknowledgement",performance_reviews,
7,People and Pay,7.14,Staff,Engagement survey response,engagement_responses,
7,People and Pay,7.15,Human Resource,Enter the four statutory rate tables and their brackets,statutory_rate_tables → draft,—
7,People and Pay,7.16,Payroll,Approve each table — immutable afterwards,→ approved,—
7,People and Pay,7.17,Payroll,Open the payroll period,payroll_periods → open,—
7,People and Pay,7.18,Payroll,Add workers — never removed,payroll_lines → computed,—
7,People and Pay,7.19,Platform,"Automatic: run payroll, three times",→ running → ready_to_approve,—
7,People and Pay,7.20,Executive,Approve the period,→ approved,G30 · Chief Operating Officer · no alternate
7,People and Pay,7.21,Staff,The worker acknowledges the payslip,payroll_lines → acknowledged,—
7,People and Pay,7.22,Executive,Disburse,→ disbursed,G31 · Head of Finance · no alternate
7,People and Pay,7.23,Platform,The protocol can set any status directly,—,—
8,Operate and Maintain,8.1,Projects,Commissioning and snagging complete,project_blocks 8 and 9,—
8,Operate and Maintain,8.2,External,The client accepts the system,—,—
8,Operate and Maintain,8.3,Executive,Record the turnover date,projects.turnoverDate,G21 · Director · Chief Operating Officer
8,Operate and Maintain,8.4,Platform,Automatic: retention release and warranty expiry derived,projects,—
8,Operate and Maintain,8.5,Finance,Raise the retention invoice at the release date,—,G12
8,Operate and Maintain,8.6,Operations,Create the maintenance schedule,om_schedules,—
8,Operate and Maintain,8.7,Operations,Create a visit,om_visits → draft,—
8,Operate and Maintain,8.8,Operations,Work the visit — nine activity types,→ in_progress → completed,—
8,Operate and Maintain,8.9,Operations,Record readings,om_readings,—
8,Operate and Maintain,8.10,Operations,Raise a defect,om_defects → open → acknowledged → in_repair → resolved · escalated,—
8,Operate and Maintain,8.11,Operations,Submit the visit for sign-off,approval_requests → pending,—
8,Operate and Maintain,8.12,Executive,Approve the sign-off,om_visits → signed_off,G34 · O&M Lead · no alternate
8,Operate and Maintain,8.13,Platform,Automatic: the next visit date advances,om_schedules,—
8,Operate and Maintain,8.14,Operations,Submit a warranty claim,G34 · Warranty Claim Submission,G34 · Warranty Claim Submission
8,Operate and Maintain,8.15,Platform,The gate engine,—,—

SECTION 2 — HAND-OFFS BETWEEN LANES
Part,Process,From → To,At step,What crosses,What stalls it
2,Win the Work,Client → Sales,2.4 → 2.5,Site access and load data,The client. The assessment cannot be recorded without a visit
2,Win the Work,Sales → Executive,2.9 → 2.10,A proposal awaiting review,Nobody is told the request exists (RC-H). The approver finds it only by opening the record
2,Win the Work,Executive → Sales,2.10 → 2.11,An approved proposal,Same
2,Win the Work,Sales → Client,2.11 → 2.12,The proposal,The client's own timeline. under_negotiation is the holding state
2,Win the Work,Sales → Executive,2.13 → 2.14,A won decision,Same as 2.9
2,Win the Work,Platform → Projects,2.15 → 2.16,A new project in setup,The Project Manager is not told a project exists (RC-H)
2,Win the Work,Projects → Client,2.16 → 2.17,The contract,The client's signature
2,Win the Work,Client → Projects,2.17 → 2.18,The signed agreement,The physical document reaching whoever attaches it
3,Design and Permit,Engineering → Executive,3.8 → 3.9,A design freeze awaiting approval,Nobody is told (RC-H)
3,Design and Permit,Platform → Procurement,3.11 → Part 4,The bill of materials,Nothing. Part 4's purchase order links to a bill of materials line and auto-fills from it — one of the better joins in the product
3,Design and Permit,Administration → Executive,3.16 → 3.17,A consultant engagement decision,"The gate does not exist, so in practice this step is skipped entirely"
3,Design and Permit,Administration → Authority,3.18 → 3.19,The permit application,The authority's own timeline. There is no expected-decision date on the record
3,Design and Permit,Authority → Administration,3.19 → 3.20,The decision,Someone remembering to check
3,Design and Permit,Both chains → Projects,"3.10, 3.22 → Part 5",An issued-for-construction package and an approved permit,Either one being late. Mobilisation needs both
4,Buy and Store,Engineering → Procurement,Part 3 → 4.2,The bill of materials line,"Nothing. The link auto-fills description, quantity and unit — one of the better joins in the product"
4,Buy and Store,Procurement → Executive,4.3 → 4.4,An order awaiting approval,Nobody is told (RC-H)
4,Buy and Store,Procurement → Supplier,4.5 → 4.6,The issued order,"There is no way to send it. No print, no export, no email — the order exists only on screen"
4,Buy and Store,Supplier → Warehouse,4.6 → 4.7,The delivery,
4,Buy and Store,Warehouse → Warehouse,4.7 → 4.13,Nothing — this is the break,Received material never becomes stock. Somebody has to notice the delivery and type it in as an adjustment or a count
4,Buy and Store,Warehouse → Site,4.15 → 4.16,Material in transit,The receiver has to be on the platform to close it. Sorsogon and Dumaguete work from phones
4,Buy and Store,Procurement → Finance,4.5 → Part 6,Committed cost,"Committed cost is computed from issued orders only, and never compared against the contract value"
5,Build Safely,Part 3 → Site,→ 5.3,The approved permit and the issued-for-construction package,Nothing checks either. HB4 has no code
5,Build Safely,Manpower → Site,5.3 → 5.4,Crews on site,
5,Build Safely,Site → Projects,5.9 → 5.10,The day's report,Nobody is told (RC-H). A report can sit submitted indefinitely
5,Build Safely,Site → Payroll,5.7 → 5.12,The attendance list,Nothing. This join works — and it is the reason the toolbox meeting matters
5,Build Safely,Site → Safety,5.16 → 5.17,An active safety stop,"Nobody is told, and work does not actually stop — nothing in the platform blocks on an active stop"
5,Build Safely,Safety → Executive,5.23 → 5.24,A report awaiting closure,Nobody is told
5,Build Safely,Site → Part 8,5.11 → handover,Block completion,"The stage cannot advance, so handover is unreachable"
6,Get Paid,Site → Billing,Part 5 → 6.2,Block percent complete,Nothing. This join works — the claim reads the latest cumulative percent per block and stores a weighted average. It is the strongest link in the product
6,Get Paid,Billing → Client,6.3 → 6.4,The submitted claim,"There is no way to send it. No invoice document, no export, no attachment"
6,Get Paid,Client → Billing,6.4 → 6.5,Certification,"Someone remembering to check. No expected date, no notification"
6,Get Paid,Billing → Treasury,6.5 → 6.8,A certified claim to draw against,The link is optional — progressClaimId on a fund request is not required
6,Get Paid,Procurement → Treasury,Part 4 → 6.18,The supplier's bill,There is nowhere for it to land. Committed cost is computed from issued orders; nothing records what is actually owed
6,Get Paid,Projects → Executive,6.14 → 6.15,A variation order,No screen raises it and no mutation approves it
6,Get Paid,Treasury → Executive,6.16 → 6.17,The forecast,Nothing. The gap detection works
7,People and Pay,Site → Payroll,Part 5 → 7.19,Toolbox attendance becomes days worked,Nothing. This is the join that makes L4 work — presence is never tracked and people are still paid correctly
7,People and Pay,Candidate → Human Resource,7.6 → 7.7,An accepted offer,Nothing carries across. The employee record is typed again by hand
7,People and Pay,Human Resource → Payroll,7.15 → 7.16,Draft rate tables,Nobody is told (RC-H)
7,People and Pay,Payroll → Executive,7.19 → 7.20,A period ready to approve,Nobody is told
7,People and Pay,Payroll → Staff,7.20 → 7.21,The payslip,"There is no payslip document — the worker acknowledges a row on a screen. No print, no export, no file"
7,People and Pay,Payroll → Finance,7.22 → Part 6,The disbursement,Payroll is the only outbound payment the platform has. It does not appear in the cash forecast
7,People and Pay,Human Resource → Part 9,7.16,Approved rate tables,The tables are configuration and are not in the configuration register
8,Operate and Maintain,Site → Projects,Part 5 → 8.1,Block completion,Nothing — it is computed
8,Operate and Maintain,Projects → Executive,8.2 → 8.3,A handed-over system,No acceptance record to carry
8,Operate and Maintain,Platform → Finance,8.4 → 8.5,The retention release date,Nothing reads it. The date is derived correctly and no record can bill against it
8,Operate and Maintain,Projects → Operations,8.3 → 8.6,A site to maintain,The warranty expiry now gates every visit
8,Operate and Maintain,Operations → Executive,8.11 → 8.12,A visit awaiting sign-off,Nobody is told (RC-H)
8,Operate and Maintain,Operations → Client,8.12 → —,The signed-off service report,There is no document to send
8,Operate and Maintain,Operations → Procurement,8.10 → Part 4,A defect needing parts,No link at all — a defect cannot become a purchase order or a stock issue
9,Govern,Console → Executive,9.2 → 9.4,The right to configure,Nothing checks it
9,Govern,Executive → every other part,9.4 → all,Who approves what,"Nothing. One call, no signature"
9,Govern,Executive → Finance and Sales,"9.6 → Parts 2, 4, 6","Markups, yields, rates",Already inconsistent — see section 5
9,Govern,Department Head → the gate engine,9.9 → all,A person's authority,The grant is live before the answer
9,Govern,Executive → the sidebar,9.13 → 9.14,What a role may see,Nothing else consumes it
9,Govern,Document Control → Site,9.16 → Part 5,A revision in force,"Correct, and ungated"
9,Govern,Platform → the auditor,9.19 → 9.21,The proof,"Erasure can quietly remove part of it, and the export omits 21 tables"
